Site,S1,S2,S3,S4,S5,S6,S7,S8
,1.876265914,1.668577066,,1.704334318,,,1.920801092,1.8450941
,1.148760331,1.727290226,,2.139908026,,,1.953642129,1.879099854
,1.492404613,1.54105367,,1.76226204,,,1.791943241,1.743050338
,1.050104555,2.03125,,1.765215015,,,1.88660778,1.765215015
,1.892842014,1.682945154,,1.795433614,,,1.732901226,2.230465815
,1.909159867,1.466234778,,1.928428696,,,1.593760684,1.989293981
,1.87916185,1.98263628,,1.655475974,,,1.849652265,2.133591261
,1.537630925,1.759260603,,1.792907715,,,1.657714301,1.8450941
,1.624585318,1.622783886,,1.856874545,,,2.64452354,1.822157434
,1.670842373,1.769065857,,1.599699257,,,1.719250114,1.803155522
,1.042809311,1.617155086,,2.261573603,,,2.250514403,1.682945154
,1.073210236,1.679684219,,1.662438531,,,1.791163034,2.429543246
,1.907571064,1.84350391,,1.714677641,,,1.74592,1.956018519
,1.930948901,2.142380672,,1.720116618,,,2.592144919,1.935446175
,1.940469712,1.826433979,,1.704371539,,,1.741982507,1.69403699
,1.937168251,1.895179926,,1.805555556,,,1.926825261,1.710252752
,1.730324074,2.098083496,,1.6,,,1.679314899,1.606785504
,1.680203118,1.983471074,,1.784970548,,,2.059567082,1.984511544
,1.857737568,2.044999732,,1.678359236,,,2.014272968,1.983471074
,1.973571916,1.613935498,,1.691336258,,,1.814744802,2.049927114
,1.793841486,1.547934677,,1.86920166,,,1.665808609,1.822157434
,1.77321238,1.883417555,,1.765552846,,,2.500342936,1.991351843
,1.837796683,1.635599455,,1.863260706,,,2.54465167,1.784970548
,1.002914969,1.776729687,,1.889920245,,,1.668828506,2.035416243
,1.727650463,1.696186351,,1.439729331,,,1.849944139,1.777992717
,1.582413518,1.658806066,,1.658487309,,,2.124709495,1.741123895
,1.620465216,1.686761972,,1.754670122,,,1.744283921,2.606785504
,1.68468328,1.876822157,,1.805555556,,,1.800025044,1.869969146
,1.795642374,1.776527787,,1.801472766,,,1.828542953,2.118990975
,1.915721419,1.918897864,,1.801547383,,,1.948111061,1.780989212
,1.967277883,1.704671714,,1.431307129,,,1.712997746,2.035416243
,1.630353118,1.850828184,,1.893491124,,,2.032210537,1.83003766
,1.775374819,2.028175008,,1.687885802,,,1.777777778,2.043576258
,1.016255756,1.653775697,,1.857077833,,,1.920128995,2.022960603
,1.788129226,1.898928323,,1.816093945,,,1.714677641,1.743050338
,1.85588221,1.71142467,,1.759259259,,,1.788413778,1.880747194
,1.073210236,1.675011379,,1.719676701,,,1.766081971,2.493513883
,1.68,1.784970548,,1.762184843,,,1.915616427,1.81066867
,1.738579705,1.795993413,,1.938488244,,,1.835240912,1.819599606
,1.793981481,1.552482293,,1.675011379,,,2.073006269,1.968444778
,1.874527589,1.749185834,,1.739154632,,,1.94078922,1.820948524
,1.742588872,1.695687302,,1.674231147,,,1.812457189,1.849421954
,1.037291402,1.56605562,,1.851851852,,,1.683436807,1.635076157
,1.993558932,1.664932362,,1.676394411,,,2.57789353,1.829656025
,1.848586152,1.645172319,,1.781924803,,,2.389622212,2.1072756
,1.028549962,1.625672543,,1.6357533,,,1.760851246,1.762365729
,1.842602281,1.966317706,,1.536351166,,,1.594359327,1.808449074
,1.571787837,1.5625,,1.755829904,,,1.593532121,1.742588872
,1.848600679,1.762277198,,1.784251252,,,2.489427195,1.658487309
,1.644750813,1.971809485,,1.943917967,,,2.548663811,2.438931177
,1.770867077,1.841690799,,1.7225082,,,1.942793273,1.94048
,1.854195775,2.050104555,,1.525169046,,,1.779850381,1.748148148
,1.960592099,1.959631589,,1.960030456,,,1.679684219,1.762277198
,1.869322138,2.083333333,,1.720116618,,,1.91699782,1.906797074
,1.648338269,1.879646626,,1.799661664,,,1.83750112,2.562734786
,1.91,1.900183602,,1.679238566,,,1.905569487,2.220754373
,1.894067892,1.839654145,,1.619695497,,,1.731142309,1.768261317
,1.793686224,1.898871528,,1.637402117,,,1.83950831,2.035416243
,1.209963536,1.971809485,,1.893491124,,,1.808016904,1.947916737
,1.073859629,1.71142467,,1.855182563,,,1.658163265,2.717382455
,1.192744502,1.850237853,,1.983471074,,,1.896525565,2.054613733
,1.119532084,1.856874545,,1.529443449,,,1.795433614,1.682945154
,1.855098274,1.863260706,,1.807449623,,,1.886260519,1.983471074
,1.567532465,2.202827549,,1.872592593,,,1.76149453,1.765215015
,1.239761611,1.983471074,,2.059936523,,,1.568054866,1.754760742
,1.280092593,1.905197378,,1.796875,,,1.533102679,1.961331959
,1.762143503,2.20471097,,1.77734375,,,1.751609332,1.672453704
,1.798730798,2.014031083,,1.839954614,,,2.450598187,1.716086926
,1.741123895,1.983471074,,1.714677641,,,1.729407474,1.706873009
,1.898871528,1.983471074,,1.691336258,,,2.127906977,1.742588872
,1.795642374,1.999624071,,1.991111111,,,,2.510523312
,1.715390397,1.818207695,,1.662961073,,,,2.537317634
,2.231610257,1.798991306,,1.828682384,,,,1.626157407
,2.305772569,1.692771912,,1.72400155,,,,1.928379597
,1.444913903,1.728936073,,2.022673203,,,,1.966317706
,1.74,1.839654145,,1.791163034,,,,2.759259259
,1.469336178,2.094672549,,1.838134431,,,,2.765215015
,1.76,1.857077833,,1.919639108,,,,1.96096
,1.640083644,1.839460676,,1.889644747,,,,2.720510894
,1.910137032,1.629008746,,1.84,,,,2.277696793
,1.611026844,1.702308655,,1.722987188,,,,2.781924803
,1.753590325,1.70852165,,1.968703958,,,,1.894431693
,1.498035951,1.979347946,,1.76226204,,,,2.630092387
,1.88353356,1.720318217,,1.879099854,,,,2.743050338
,1.83658293,1.879099854,,1.759669182,,,,1.989293981
,1.681573626,1.728936073,,1.826433979,,,,
,1.84322684,1.938488244,,1.856874545,,,,
,1.791943497,1.765215015,,1.638598088,,,,
,1.923061314,1.755829904,,1.730433506,,,,
,1.635598383,1.617413807,,2.149425365,,,,
,1.902452208,1.919639108,,1.947618793,,,,
,1.384518764,1.749185834,,1.820664543,,,,
,1.163189374,1.936042274,,1.747995589,,,,
,1.857250837,1.71661377,,,,,,
,1.903940816,1.704334318,,,,,,
,1.788345273,1.674148938,,,,,,
,1.058025808,1.643790581,,,,,,
,1.863325657,2.223825988,,,,,,
,1.085397658,2.050104555,,,,,,
,1.009121606,2.070657896,,,,,,
,1.159908852,1.704166444,,,,,,
,1.71875,1.803155522,,,,,,
,1.800811522,1.669588446,,,,,,
,1.054685105,1.613350015,,,,,,
,1.921967037,1.755829904,,,,,,
,1.560926391,1.991351843,,,,,,
,1.634805354,2.035416243,,,,,,
,1.975658755,2.085048011,,,,,,
,1.903491116,2.054738226,,,,,,
,1.825892618,1.849112426,,,,,,
,1.905935772,2.103681443,,,,,,
,1.75748383,1.959631589,,,,,,
,1.039966341,1.691336258,,,,,,
,1.614973353,1.850237853,,,,,,
,1.564633591,1.865569273,,,,,,
,1.762228701,1.920232135,,,,,,
,1.031311211,1.84619516,,,,,,
,1.704903399,1.907348633,,,,,,
,1.753416911,1.720926466,,,,,,
,1.586183063,1.947599328,,,,,,
,1.866156825,1.997915688,,,,,,
,1.729775719,1.773937724,,,,,,
,1.864864249,1.720116618,,,,,,
,1.752719542,1.661093964,,,,,,
,1.733873096,1.646090535,,,,,,
,1.520354173,1.877664395,,,,,,
,1.71,1.875453059,,,,,,
,1.196339982,1.606785504,,,,,,
,1.978771492,2.08,,,,,,
,1.086080988,1.851851852,,,,,,
,1.071902149,1.780989212,,,,,,
,1.868684022,2.086985558,,,,,,
,1.914688867,1.621972318,,,,,,
,1.857250837,1.717382455,,,,,,
,1.829767865,1.655475974,,,,,,
,1.035691509,1.944444444,,,,,,
,1.986038788,1.930113121,,,,,,
,1.805420581,1.714677641,,,,,,
,1.711314903,2.085048011,,,,,,
,1.935357994,1.966317706,,,,,,
,1.694019136,1.999624071,,,,,,
,1.153975218,1.982544794,,,,,,
,1.529896441,1.669588446,,,,,,
,1.697576235,1.813670724,,,,,,
,1.96682723,1.603055246,,,,,,
,1.143502918,1.740897201,,,,,,
,1.203899516,1.741297707,,,,,,
,1.365437548,1.675011379,,,,,,
,1.907921884,1.706666667,,,,,,
,1.342509548,1.676394411,,,,,,
,1.133390053,1.784251252,,,,,,
,1.890492867,1.784251252,,,,,,
,1.840042968,1.764566292,,,,,,
,1.77818422,1.599699257,,,,,,
,1.889644747,1.627604167,,,,,,
,1.037037037,1.69178611,,,,,,
,1.674148938,1.702761929,,,,,,
,,1.76226204,,,,,,
,,1.695687302,,,,,,
,,1.84619516,,,,,,
,,1.662507289,,,,,,
,,1.959631589,,,,,,
,,1.846734183,,,,,,
,,1.928710938,,,,,,
,,1.781169062,,,,,,
,,1.930113121,,,,,,
,,1.79935308,,,,,,
,,1.938670578,,,,,,
,,1.851139875,,,,,,
,,1.899995622,,,,,,
,,1.614021474,,,,,,
,,1.84350391,,,,,,
,,1.630092387,,,,,,
,,1.704671714,,,,,,
,,1.848636831,,,,,,
,,1.749271137,,,,,,
,,2.069970845,,,,,,
,,1.908202727,,,,,,
,,1.924198251,,,,,,
,,1.452875156,,,,,,
,,2.067553107,,,,,,
,,1.799407224,,,,,,
,,1.84459597,,,,,,
,,1.533295512,,,,,,
,,1.773127613,,,,,,
,,1.717382455,,,,,,
,,1.84459597,,,,,,
,,2.028175008,,,,,,
,,1.59257469,,,,,,
,,1.834490741,,,,,,
,,1.850828184,,,,,,
,,1.690962099,,,,,,
,,1.762184843,,,,,,
,,1.727927081,,,,,,
,,1.665808609,,,,,,
,,1.670878136,,,,,,
,,1.687885802,,,,,,
,,1.653775697,,,,,,
,,1.955804184,,,,,,
,,1.599008177,,,,,,
,,1.653775697,,,,,,
,,1.643790581,,,,,,
,,1.621972318,,,,,,
,,1.898148148,,,,,,
,,1.895043732,,,,,,
